                Time            Position            Velocity
             0.39800             0.08415             0.37938
             0.40000             0.08491             0.38061
             0.40200             0.08568             0.38184
             0.40400             0.08644             0.38306
             0.40600             0.08721             0.38427
             0.40800             0.08798             0.38548
             0.41000             0.08875             0.38667
             0.41200             0.08953             0.38786
             0.41400             0.09030             0.38905
             0.41600             0.09108             0.39022
             0.41800             0.09186             0.39139
             0.42000             0.09265             0.39256
             0.42200             0.09343             0.39371
             0.42400             0.09422             0.39486
             0.42600             0.09501             0.39600
             0.42800             0.09581             0.39714
             0.43000             0.09660             0.39826
             0.43200             0.09740             0.39938
             0.43400             0.09820             0.40050
             0.43600             0.09900             0.40160
             0.43800             0.09981             0.40270
             0.44000             0.10061             0.40379
             0.44200             0.10142             0.40488
             0.44400             0.10223             0.40596
             0.44600             0.10304             0.40703
             0.44800             0.10386             0.40809
             0.45000             0.10468             0.40915
             0.45200             0.10550             0.41020
             0.45400             0.10632             0.41124
             0.45600             0.10714             0.41228
             0.45800             0.10797             0.41331
             0.46000             0.10879             0.41433
             0.46200             0.10962             0.41535
             0.46400             0.11046             0.41635
             0.46600             0.11129             0.41736
             0.46800             0.11213             0.41835
             0.47000             0.11296             0.41934
             0.47200             0.11380             0.42032
             0.47400             0.11464             0.42129
             0.47600             0.11549             0.42226
             0.47800             0.11633             0.42321
             0.48000             0.11718             0.42417
             0.48200             0.11803             0.42511
             0.48400             0.11888             0.42605
             0.48600             0.11973             0.42698
             0.48800             0.12059             0.42790
             0.49000             0.12145             0.42882
             0.49200             0.12230             0.42973
             0.49400             0.12316             0.43064
             0.49600             0.12403             0.43153
             0.49800             0.12489             0.43242
             0.50000             0.12576             0.43330
             0.50200             0.12662             0.43418
             0.50400             0.12749             0.43505
             0.50600             0.12836             0.43591
             0.50800             0.12924             0.43676
             0.51000             0.13011             0.43761
             0.51200             0.13099             0.43845
             0.51400             0.13187             0.43929
             0.51600             0.13274             0.44011
             0.51800             0.13363             0.44093
             0.52000             0.13451             0.44174
             0.52200             0.13539             0.44255
             0.52400             0.13628             0.44335
             0.52600             0.13717             0.44414
             0.52800             0.13805             0.44493
             0.53000             0.13895             0.44571
             0.53200             0.13984             0.44648
             0.53400             0.14073             0.44724
             0.53600             0.14163             0.44800
             0.53800             0.14252             0.44875
             0.54000             0.14342             0.44949
             0.54200             0.14432             0.45023
             0.54400             0.14522             0.45096
             0.54600             0.14613             0.45168
             0.54800             0.14703             0.45240
             0.55000             0.14793             0.45311
             0.55200             0.14884             0.45381
             0.55400             0.14975             0.45451
             0.55600             0.15066             0.45520
             0.55800             0.15157             0.45588
             0.56000             0.15248             0.45656
             0.56200             0.15340             0.45722
             0.56400             0.15431             0.45789
             0.56600             0.15523             0.45854
             0.56800             0.15615             0.45919
             0.57000             0.15707             0.45983
             0.57200             0.15799             0.46047
             0.57400             0.15891             0.46109
             0.57600             0.15983             0.46171
             0.57800             0.16075             0.46233
             0.58000             0.16168             0.46294
             0.58200             0.16261             0.46354
             0.58400             0.16353             0.46413
             0.58600             0.16446             0.46472
             0.58800             0.16539             0.46530
             0.59000             0.16632             0.46587
             0.59200             0.16726             0.46644
             0.59400             0.16819             0.46700
             0.59600             0.16912             0.46755
